#{"t_start": 1671014251.9923966, "env_id": "CartPole-v0"}
r,l,t
200.0,200,212.638159
200.0,200,215.739321
200.0,200,216.095488
200.0,200,216.427531
200.0,200,216.75007
200.0,200,217.049569
200.0,200,217.43733
200.0,200,217.773809
200.0,200,218.036986
119.0,119,218.182692
200.0,200,218.473655
200.0,200,221.089344
200.0,200,221.374423
200.0,200,221.617251
200.0,200,221.878724
200.0,200,222.192788
200.0,200,222.510477
200.0,200,222.805287
200.0,200,223.086356
200.0,200,223.373978
200.0,200,223.667041
200.0,200,223.911371
200.0,200,226.5846
200.0,200,226.851715
200.0,200,227.145474
200.0,200,227.448354
200.0,200,227.708237
200.0,200,227.974809
200.0,200,228.24051
200.0,200,228.552768
200.0,200,228.853868
200.0,200,229.131799
200.0,200,231.812067
200.0,200,232.129269
200.0,200,232.445805
200.0,200,232.703707
200.0,200,232.967715
200.0,200,233.201502
200.0,200,233.478472
200.0,200,233.75638
200.0,200,234.067821
200.0,200,234.332729
200.0,200,237.099492
200.0,200,237.42693
200.0,200,237.675457
200.0,200,237.950493
200.0,200,238.212247
200.0,200,238.481953
200.0,200,238.765277
200.0,200,239.017474
200.0,200,239.261812
200.0,200,239.497758
200.0,200,242.165447
200.0,200,242.488576
200.0,200,242.732351
200.0,200,243.022214
200.0,200,243.26766
200.0,200,243.575693
200.0,200,243.808858
200.0,200,244.066828
200.0,200,244.303751
200.0,200,244.629484
200.0,200,244.879082
200.0,200,247.667221
200.0,200,247.989845
200.0,200,248.273665
200.0,200,248.55541
200.0,200,248.875044
200.0,200,249.141721
200.0,200,249.383096
200.0,200,249.642777
200.0,200,249.884603
200.0,200,250.127204
200.0,200,252.903876
200.0,200,253.153858
200.0,200,253.453544
200.0,200,253.756333
200.0,200,254.038816
192.0,192,254.323604
200.0,200,254.574883
200.0,200,254.853114
200.0,200,255.096469
200.0,200,255.362581
200.0,200,258.096865
200.0,200,258.350209
200.0,200,258.652094
200.0,200,258.896893
200.0,200,259.157206
200.0,200,259.433654
200.0,200,259.747502
200.0,200,260.025045
200.0,200,260.308258
200.0,200,260.555435
200.0,200,263.292605
200.0,200,263.638023
200.0,200,263.902807
200.0,200,264.153364
200.0,200,264.424623
200.0,200,264.667629
200.0,200,264.929589
200.0,200,265.179435
200.0,200,265.424681
200.0,200,265.664688
200.0,200,265.968437
200.0,200,268.791053
200.0,200,269.050438
200.0,200,269.292709
200.0,200,269.544242
200.0,200,269.794674
200.0,200,270.077118
200.0,200,270.337102
